10001,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน
10001,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน
10001,8011,ไข่ไก่ ขนาดกลาง(เบอร์2),7,GR,0.5,ฟอง 50 กรัม (เบอร์ 2),ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน
10001,4087,ผักตำลึง,12,GR,0.012,kg,ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน
10001,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน
10002,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10002,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10002,6003,ตับไก่,4.25,GR,0.00425,kg,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10002,3065,เต้าหู้ไข่ไก่ หลอด,34,GR,0.2833,หลอด (120 กรัม),ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10002,4096,ผักหวานบ้าน,7.5,GR,0.0075,kg,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10002,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน
10003,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน
10003,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน
10003,7025,ปลาทู นึ่ง / ปลาทูเข่งตัวกลาง 13 x 4 ซม.,13.5,GR,0.64,ตัวเล็ก (11x3 ซม.) 21 กรัม,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน
10003,4108,ฟักทอง,13.5,GR,0.0135,kg,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน
10003,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน
10004,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวต้ม ไข่-ตำลึง 9-11 เดือน
10004,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวต้ม ไข่-ตำลึง 9-11 เดือน
10004,8011,ไข่ไก่ ขนาดกลาง(เบอร์2),16.5,GR,0.33,ฟอง 50 กรัม (เบอร์ 2),ข้าวต้ม ไข่-ตำลึง 9-11 เดือน
10004,4087,ผักตำลึง,16,GR,0.016,kg,ข้าวต้ม ไข่-ตำลึง 9-11 เดือน
10004,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวต้ม ไข่-ตำลึง 9-11 เดือน
10005,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวต้ม ปลา-แครอท 9-11 เดือน
10005,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวต้ม ปลา-แครอท 9-11 เดือน
10005,7026,ปลาทูสด,22.5,GR,0.0225,kg,ข้าวต้ม ปลา-แครอท 9-11 เดือน
10005,4167,แครอท,20,GR,0.02,kg,ข้าวต้ม ปลา-แครอท 9-11 เดือน
10005,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวต้ม ปลา-แครอท 9-11 เดือน
10006,1014,ข้าวสารเจ้า ต้มข้าวต้ม,40,GR,0.04,kg,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10006,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10006,6086,หมูสับ,15,GR,0.015,kg,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10006,6070,เลือดหมูต้ม,6.5,GR,0.0065,kg,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10006,4096,ผักหวานบ้าน,10,GR,0.01,kg,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10006,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน
10007,1015,ข้าวสารเจ้า หุงข้าวสวย,50,GR,0.05,kg,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,10004,น้ำมันถั่วเหลือง,5,GR,0.005,ขวดใหญ่ 1000 ml,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,8011,ไข่ไก่ ขนาดกลาง(เบอร์2),16.5,GR,0.33,ฟอง 50 กรัม (เบอร์ 2),ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,6008,เนื้อไก่ (เนื้อล้วน),15,GR,0.015,kg,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,6003,ตับไก่,4.25,GR,0.00425,kg,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,4108,ฟักทอง,20,GR,0.02,kg,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10007,4096,ผักหวานบ้าน,10,GR,0.01,kg,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน
10008,1015,ข้าวสารเจ้า หุงข้าวสวย,50,GR,0.05,kg,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,3065,เต้าหู้ไข่ไก่ หลอด,34,GR,0.2833,หลอด (120 กรัม),ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,10004,น้ำมันถั่วเหลือง,5,GR,0.005,ขวดใหญ่ 1000 ml,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,6070,เลือดหมูต้ม,13,GR,0.013,kg,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,6086,หมูสับ,15,GR,0.015,kg,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,4167,แครอท,20,GR,0.02,kg,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10008,4087,ผักตำลึง,16,GR,0.016,kg,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน
10009,1015,ข้าวสารเจ้า หุงข้าวสวย,50,GR,0.05,kg,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,7025,ปลาทู นึ่ง / ปลาทูเข่งตัวกลาง 13 x 4 ซม.,10,GR,0.48,ตัวเล็ก (11x3 ซม.) 21 กรัม,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,14031,น้ำประปา น้ำเปล่า,100,GR,0.1,ลิตร,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,10004,น้ำมันถั่วเหลือง,2.5,GR,0.0025,ขวดใหญ่ 1000 ml,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,8011,ไข่ไก่ ขนาดกลาง(เบอร์2),25,GR,0.5,ฟอง 50 กรัม (เบอร์ 2),ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,2005,มันฝรั่ง,20,GR,0.02,kg,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10009,4138,หัวผักกาด ไชเท้า,22,GR,0.022,kg,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน
10010,1014,ข้าวสารเจ้า ต้มข้าวต้ม,72,GR,0.072,kg,ข้าวบดปลาทูใส่ใบตำลึง
10010,7025,ปลาทู นึ่ง / ปลาทูเข่งตัวกลาง 13 x 4 ซม.,10,GR,0.48,ตัวเล็ก (11x3 ซม.) 21 กรัม,ข้าวบดปลาทูใส่ใบตำลึง
10010,4087,ผักตำลึง,5,GR,0.005,kg,ข้าวบดปลาทูใส่ใบตำลึง
10010,14031,น้ำประปา น้ำเปล่า,40,GR,0.04,ลิตร,ข้าวบดปลาทูใส่ใบตำลึง
10011,1014,ข้าวสารเจ้า ต้มข้าวต้ม,72,GR,0.072,kg,ข้าวบดปลาช่อนใส่ฟักทอง
10011,7015,ปลาช่อน,15,GR,0.015,kg,ข้าวบดปลาช่อนใส่ฟักทอง
10011,4108,ฟักทอง,7,GR,0.007,kg,ข้าวบดปลาช่อนใส่ฟักทอง
10011,14031,น้ำประปา น้ำเปล่า,40,GR,0.04,ลิตร,ข้าวบดปลาช่อนใส่ฟักทอง
10012,1014,ข้าวสารเจ้า ต้มข้าวต้ม,72,GR,0.072,kg,ข้าวบดเนื้อหมูใส่แครอท
10012,6086,หมูสับ,15,GR,0.015,kg,ข้าวบดเนื้อหมูใส่แครอท
10012,4167,แครอท,10,GR,0.01,kg,ข้าวบดเนื้อหมูใส่แครอท
10012,14031,น้ำประปา น้ำเปล่า,40,GR,0.04,ลิตร,ข้าวบดเนื้อหมูใส่แครอท
10013,1014,ข้าวสารเจ้า ต้มข้าวต้ม,72,GR,0.072,kg,ข้าวบดตับไก่ใส่มะเขือเทศ
